"id","current_value","future_basoul_value","file_path_system","category","migration_phase","dependency_risk","rollback_method","requires_downtime","requires_external_account_action","requires_manual_approval"
"INV-001","YOSSEUF RADWAN","YOSSEUF RADWAN","README.md; README_AR.md; LICENSE; product attribution","PRESERVE","Phase 0","critical: founder identity must not be converted","restore exact attribution from tagged release","no","no","yes"
"INV-002","Yosseuf3/YOSSEUF--OS","candidate repository name requires separate decision","GitHub repository","REVIEW_MANUALLY","Phase 8","critical: clone URLs actions integrations and links","GitHub repository rename rollback and old-name redirect verification","yes","yes","yes"
"INV-003","yosseuf-platform","basoul-platform","package.json name","RENAME","Phase 3","high: lockfile tooling and deployment metadata","restore package name and lockfile from pre-phase tag","no","no","yes"
"INV-004","@yosseuf/platform","@basoul/platform","packages/platform/package.json","RENAME","Phase 3","high: runtime imports and workspace resolution","restore old scope and lockfile atomically","no","yes","yes"
"INV-005","@yosseuf/shared-types","@basoul/shared-types","packages/shared-types/package.json","RENAME","Phase 3","high: cross-package type imports","restore old scope and lockfile atomically","no","yes","yes"
"INV-006","@yosseuf/decision-engine","@basoul/decision-engine","packages/decision-engine/package.json","RENAME","Phase 3","high: web and mobile dependency graph","restore old scope and lockfile atomically","no","yes","yes"
"INV-007","@yosseuf/event-bus","@basoul/event-bus","packages/event-bus/package.json","RENAME","Phase 3","medium: internal event consumers","restore old scope and lockfile atomically","no","yes","yes"
"INV-008","@yosseuf/core","@basoul/core","packages/core/package.json","RENAME","Phase 3","high: workspace dependencies","restore old scope and lockfile atomically","no","yes","yes"
"INV-009","@yosseuf/services","@basoul/services","packages/services/package.json","RENAME","Phase 3","high: workspace dependencies","restore old scope and lockfile atomically","no","yes","yes"
"INV-010","@yosseuf/intelligence","@basoul/intelligence","packages/intelligence/package.json","RENAME","Phase 3","medium: workspace dependencies","restore old scope and lockfile atomically","no","yes","yes"
"INV-011","@yosseuf/ui-tokens","future BASOUL adapter package; YVL source remains unchanged","packages/ui-tokens/package.json","REVIEW_MANUALLY","Phase 3","critical: YVL contract and imports","retain @yosseuf compatibility package and revert consumers","no","yes","yes"
"INV-012","@yosseuf/cognitive-core","@basoul/cognitive-core","packages/cognitive-core/package.json","RENAME","Phase 3","high: architectural-intelligence dependency","restore old scope and lockfile atomically","no","yes","yes"
"INV-013","@yosseuf/architectural-intelligence","@basoul/architectural-intelligence","packages/architectural-intelligence/package.json","RENAME","Phase 3","high: package dependency chain","restore old scope and lockfile atomically","no","yes","yes"
"INV-014","@yosseuf/yvl-tokens","preserve package until separate visual-system governance decision","packages/yvl-tokens/package.json","NEVER_TOUCH","Phase 0","critical: approved YVL rules are out of scope","no change permitted","no","no","yes"
"INV-015","@yosseuf package imports","dual-resolution then @basoul imports","next.config.mjs; app; mobile; packages source imports","RENAME","Phase 3","critical: build resolution can fail globally","restore compatibility aliases and prior imports","no","no","yes"
"INV-016","YOSSEUF Platform","BASOUL","lib/config/app-info.ts name","RENAME","Phase 3","high: shared display identity","restore APP_INFO from pre-phase tag","no","no","yes"
"INV-017","YOSSEUF OS","BASOUL OS","lib/config/app-info.ts legacyName","DEPRECATE","Phase 9","medium: compatibility labeling","restore legacyName and compatibility copy","no","no","yes"
"INV-018","yosseuf-platform","basoul-platform","packages/platform/src/manifest.ts id","RENAME","Phase 3","high: manifest consumers may key on ID","accept both IDs during compatibility window","no","no","yes"
"INV-019","YOSSEUF Platform","BASOUL","packages/platform/src/manifest.ts name","RENAME","Phase 3","medium: display and API metadata","restore manifest name","no","no","yes"
"INV-020","YOSSEUF HQ","BASOUL HQ candidate","packages/platform/src/manifest.ts authority","REVIEW_MANUALLY","Phase 7","high: governance authority and external repository","restore authority string and governance links","no","yes","yes"
"INV-021","YOSSEUF OS compatibility","BASOUL OS with YOSSEUF compatibility alias","packages/platform/src/manifest.ts compatibility.product","DEPRECATE","Phase 9","high: compatibility contract","restore YOSSEUF product value","no","no","yes"
"INV-022","YOSSEUF Platform / YOSSEUF OS web labels","BASOUL / BASOUL OS","app/layout.tsx; app/page.tsx; app/error.tsx","RENAME","Phase 4","high: production-visible identity","promote prior immutable web deployment","yes","no","yes"
"INV-023","YOSSEUF OS web app manifest labels","BASOUL OS","app/manifest.ts","RENAME","Phase 4","high: installed PWA identity and caches","restore old manifest and purge changed cache","yes","no","yes"
"INV-024","YOSSEUF Platform navigation labels","BASOUL navigation labels","components/shell/platform-navigation.tsx","RENAME","Phase 4","medium: production UI","promote prior immutable deployment","yes","no","yes"
"INV-025","YOSSEUF labels in feature UI","BASOUL product-family labels","features/**; core/intelligence/decision-engine.ts","RENAME","Phase 4","medium: user-facing copy","promote prior immutable deployment","yes","no","yes"
"INV-026","YOSSEUF Platform","BASOUL","mobile/app.json expo.name and extra.product","RENAME","Phase 5","critical: store display metadata","ship prior signed build and halt rollout","yes","yes","yes"
"INV-027","yosseuf-os","basoul-os candidate","mobile/app.json expo.slug","REVIEW_MANUALLY","Phase 5","critical: EAS project linkage and update channels","retain old slug/project and revert config","yes","yes","yes"
"INV-028","yosseufos","basoul candidate with legacy callback support","mobile/app.json expo.scheme","REVIEW_MANUALLY","Phase 5","critical: auth deep links and installed clients","restore scheme and keep legacy handler","yes","yes","yes"
"INV-029","com.yosseufradwan.os","unchanged unless signed-app migration is proven","mobile/app.json ios.bundleIdentifier","NEVER_TOUCH","Phase 0","critical: App Store identity signing and updates","no change permitted by default","yes","yes","yes"
"INV-030","com.yosseufradwan.os","unchanged unless signed-app migration is proven","mobile/app.json android.package","NEVER_TOUCH","Phase 0","critical: Play identity signing and updates","no change permitted by default","yes","yes","yes"
"INV-031","6f770730-8c8e-49b0-81b9-f9773faf567a","unchanged","mobile/app.json extra.eas.projectId","NEVER_TOUCH","Phase 0","critical: external immutable EAS identity","no change permitted","yes","yes","yes"
